,state/region,ages,year,population
1,AL,total,2012,4817528.0
9,AL,total,2013,4833722.0
87,AK,total,2013,735132.0
95,AK,total,2012,730307.0
97,AZ,total,2012,6551149.0
103,AZ,total,2013,6626624.0
185,AR,total,2013,2959373.0
191,AR,total,2012,2949828.0
193,CA,total,2012,37999878.0
199,CA,total,2013,38332521.0
281,CO,total,2013,5268367.0
287,CO,total,2012,5189458.0
289,CT,total,2012,3591765.0
295,CT,total,2013,3596080.0
375,DE,total,2013,925749.0
383,DE,total,2012,917053.0
385,DC,total,2012,633427.0
391,DC,total,2013,646449.0
473,FL,total,2013,19552860.0
479,FL,total,2012,19320749.0
480,GA,total,2012,9915646.0
486,GA,total,2013,9992167.0
569,HI,total,2013,1404054.0
575,HI,total,2012,1390090.0
576,ID,total,2012,1595590.0
582,ID,total,2013,1612136.0
665,IL,total,2013,12882135.0
671,IL,total,2012,12868192.0
672,IN,total,2012,6537782.0
678,IN,total,2013,6570902.0
761,IA,total,2013,3090416.0
767,IA,total,2012,3075039.0
768,KS,total,2012,2885398.0
774,KS,total,2013,2893957.0
857,KY,total,2013,4395295.0
863,KY,total,2012,4379730.0
864,LA,total,2012,4602134.0
870,LA,total,2013,4625470.0
953,ME,total,2013,1328302.0
959,ME,total,2012,1328501.0
960,MD,total,2012,5884868.0
966,MD,total,2013,5928814.0
1049,MA,total,2013,6692824.0
1055,MA,total,2012,6645303.0
1056,MI,total,2012,9882519.0
1062,MI,total,2013,9895622.0
1145,MN,total,2013,5420380.0
1151,MN,total,2012,5379646.0
1152,MS,total,2012,2986450.0
1158,MS,total,2013,2991207.0
1241,MO,total,2013,6044171.0
1247,MO,total,2012,6024522.0
1248,MT,total,2012,1005494.0
1254,MT,total,2013,1015165.0
1337,NE,total,2013,1868516.0
1343,NE,total,2012,1855350.0
1344,NV,total,2012,2754354.0
1350,NV,total,2013,2790136.0
1433,NH,total,2013,1323459.0
1439,NH,total,2012,1321617.0
1440,NJ,total,2012,8867749.0
1446,NJ,total,2013,8899339.0
1527,NM,total,2013,2085287.0
1535,NM,total,2012,2083540.0
1536,NY,total,2012,19576125.0
1544,NY,total,2013,19651127.0
1623,NC,total,2013,9848060.0
1631,NC,total,2012,9748364.0
1632,ND,total,2012,701345.0
1640,ND,total,2013,723393.0
1719,OH,total,2013,11570808.0
1727,OH,total,2012,11553031.0
1728,OK,total,2012,3815780.0
1736,OK,total,2013,3850568.0
1815,OR,total,2013,3930065.0
1823,OR,total,2012,3899801.0
1824,PA,total,2012,12764475.0
1832,PA,total,2013,12773801.0
1911,RI,total,2013,1051511.0
1919,RI,total,2012,1050304.0
1920,SC,total,2012,4723417.0
1928,SC,total,2013,4774839.0
2007,SD,total,2013,844877.0
2015,SD,total,2012,834047.0
2016,TN,total,2012,6454914.0
2024,TN,total,2013,6495978.0
2103,TX,total,2013,26448193.0
2111,TX,total,2012,26060796.0
2112,UT,total,2012,2854871.0
2120,UT,total,2013,2900872.0
2199,VT,total,2013,626630.0
2207,VT,total,2012,625953.0
2208,VA,total,2012,8186628.0
2216,VA,total,2013,8260405.0
2295,WA,total,2013,6971406.0
2303,WA,total,2012,6895318.0
2304,WV,total,2012,1856680.0
2312,WV,total,2013,1854304.0
2391,WI,total,2013,5742713.0
2399,WI,total,2012,5724554.0
2400,WY,total,2012,576626.0
2408,WY,total,2013,582658.0
2487,PR,total,2013,3615086.0
2495,PR,total,2012,3651545.0
2535,USA,total,2013,316128839.0
2543,USA,total,2012,313873685.0
